timestamp,quantity,price,fee,amount,side,pnl,accumulated_pnl
2024-03-08 21:24,0.01324076,95082000,629.47,1258328,1,1258328.4723200002,-5422130.389049994
2024-03-08 21:24,0.00725923,95082000,345.11,689876,1,689876.9968600001,-4732253.3921899935
2024-03-08 21:27,0.00524178,95044000,249.09,497950,1,497950.6483199999,-4234302.743869994
2024-03-08 21:49,0.01758327,95219000,837.13,1673424,1,1673424.2561300003,-2560878.4877399933
2024-03-08 22:05,0.0011186,95012000,53.14,-106334,0,-106333.5632,-2667212.0509399935
2024-03-08 22:05,0.02523125,95012000,1198.63,-2398471,0,-2398470.155,-5065682.205939993
2024-03-08 22:05,0.02365015,95012000,1123.52,-2248172,0,-2248171.5718,-7313853.777739993
2024-03-08 22:26,0.02722841,94988000,1293.18,2585079,1,2585079.02908,-4728774.7486599935
2024-03-08 22:27,0.01815595,94988000,862.29,1723735,1,1723735.0886,-3005039.6600599936
2024-03-08 22:27,0.00052638,94988000,24.99,49974,1,49974.79344,-2955064.8666199935
2024-03-08 22:28,0.0313,94990000,1486.59,2971700,1,2971700.41,16635.543380006682
2024-03-08 22:30,0.02735877,95001000,1299.55,-2600410,0,-2600410.05877,-2583774.5153899933
2024-03-08 22:31,0.0273,95147000,1298.75,2596214,1,2596214.35,12439.834610006772
2024-03-08 22:42,0.00787027,95003000,373.84,-748074,0,-748073.10081,-735633.2661999932
2024-03-08 22:42,0.00179589,95003000,85.3,-170701,0,-170700.23767,-906333.5038699931
2024-03-08 22:42,0.00015617,95003000,7.41,-14844,0,-14844.028509999998,-921177.5323799931
2024-03-08 22:47,0.04985475,95104000,2370.69,-4743757,0,-4743756.834000001,-5664934.366379994
2024-03-08 22:47,0.00014525,95104000,6.9,-13821,0,-13820.756,-5678755.122379994
2024-03-08 22:48,0.0032159,95140000,152.98,305807,1,305807.746,-5372947.376379994
2024-03-08 22:48,0.03163128,95140000,1504.69,3007895,1,3007895.2892,-2365052.0871799937
2024-03-08 22:48,0.0046979,95140000,223.47,446734,1,446734.736,-1918317.3511799937
2024-03-08 22:48,0.00105108,95140000,49.99,99949,1,99949.7612,-1818367.5899799936
2024-03-08 22:48,0.00940384,95140000,447.34,894233,1,894233.9976,-924133.5923799936
2024-03-08 22:49,0.05,95149000,2378.72,-4759829,0,-4759828.72,-5683962.3123799935
2024-03-08 22:52,0.05,95191000,2379.77,4757170,1,4757170.23,-926792.082379993
2024-03-08 22:52,0.00885135,95191000,421.28,842147,1,842147.5778499999,-84644.50452999317
2024-03-08 22:52,0.00094865,95191000,45.15,90257,1,90257.79215000001,5613.287620006842
2024-03-08 23:04,0.03108324,95136000,1478.56,-2958614,0,-2958613.6806400004,-2953000.3930199933
2024-03-08 23:05,0.00484993,95198000,230.85,461472,1,461472.78614,-2491527.6068799933
2024-03-08 23:05,0.00720848,95198000,343.11,685889,1,685889.76904,-1805637.8378399932
2024-03-08 23:05,0.00609068,95198000,289.91,579530,1,579530.64464,-1226107.193199993
2024-03-08 23:05,0.00614577,95198000,292.53,584772,1,584772.48246,-641334.7107399931
2024-03-08 23:05,0.00238252,95198000,113.4,226697,1,226697.73896,-414636.97177999315
2024-03-08 23:05,0.00442262,95198000,210.51,420814,1,420814.06876000005,6177.0969800069
2024-03-08 23:10,0.00231589,95279000,110.32,-220766,0,-220766.00331000003,-214588.90632999313
2024-03-08 23:11,0.001,95300000,47.65,-95348,0,-95347.65,-309936.5563299931
2024-03-08 23:11,0.00021234,95321000,10.12,-20251,0,-20250.58114,-330187.13746999315
2024-03-08 23:11,0.00012366,95404000,5.89,-11804,0,-11803.548639999999,-341990.68610999314
2024-03-08 23:12,0.0037,95483000,176.64,353110,1,353110.46,11119.77389000688
